sku,product_category,location_id,location_city,location_type,current_stock,available_stock,reserved_stock,incoming_stock,damaged_stock,store_capacity,product_price,supplier_name,primary_warehouse_id,reorder_threshold,reorder_quantity,inventory_status,last_restock_date
SKU0052,skincare,ST001,Mumbai,store,94,94,0,40,3,,158.14,Supplier 1,WH003,24,47,Healthy,2026-05-01
SKU0053,skincare,ST001,Mumbai,store,108,108,0,38,4,,671.36,Supplier 4,WH003,27,54,Healthy,2026-05-02
SKU0054,skincare,ST001,Mumbai,store,120,120,0,43,2,,148.93,Supplier 4,WH003,30,60,Healthy,2026-03-13
SKU0055,cosmetics,ST001,Mumbai,store,134,134,0,30,1,,168.43,Supplier 3,WH003,34,67,Overstocked,2026-05-06
SKU0056,cosmetics,ST001,Mumbai,store,80,80,0,18,2,,267.71,Supplier 4,WH003,20,40,Healthy,2026-04-15
SKU0057,cosmetics,ST001,Mumbai,store,96,96,0,37,0,,159.26,Supplier 5,WH003,24,48,Healthy,2026-04-07
SKU0058,cosmetics,ST001,Mumbai,store,74,74,0,17,5,,295.8,Supplier 3,WH003,18,37,Healthy,2026-03-26
SKU0059,cosmetics,ST001,Mumbai,store,114,114,0,32,5,,164.35,Supplier 2,WH003,28,57,Healthy,2026-05-02
SKU0060,cosmetics,ST001,Mumbai,store,140,140,0,19,4,,529.16,Supplier 4,WH004,35,70,Overstocked,2026-04-17
SKU0061,cosmetics,ST001,Mumbai,store,64,64,0,13,1,,174.27,Supplier 2,WH004,16,32,Healthy,2026-04-28
SKU0062,cosmetics,ST001,Mumbai,store,127,127,0,24,1,,323.69,Supplier 2,WH004,32,64,Overstocked,2026-04-21
SKU0063,cosmetics,ST001,Mumbai,store,78,78,0,18,5,,477.33,Supplier 1,WH004,20,39,Healthy,2026-03-21
SKU0064,cosmetics,ST001,Mumbai,store,108,108,0,50,1,,481.97,Supplier 4,WH004,27,54,Healthy,2026-03-23
SKU0065,cosmetics,ST001,Mumbai,store,138,138,0,49,5,,382.22,Supplier 2,WH004,34,69,Overstocked,2026-04-24
SKU0066,cosmetics,ST001,Mumbai,store,123,123,0,41,5,,583.21,Supplier 3,WH004,31,62,Overstocked,2026-03-27
SKU0067,cosmetics,ST001,Mumbai,store,97,97,0,49,1,,507.81,Supplier 4,WH004,24,48,Healthy,2026-04-05
SKU0068,cosmetics,ST001,Mumbai,store,74,74,0,48,3,,307.41,Supplier 5,WH004,18,37,Healthy,2026-05-05
SKU0069,cosmetics,ST001,Mumbai,store,97,97,0,41,3,,591.6,Supplier 5,WH004,24,48,Healthy,2026-03-14
SKU0070,cosmetics,ST001,Mumbai,store,112,112,0,50,2,,202.22,Supplier 2,WH004,28,56,Healthy,2026-04-09
SKU0071,cosmetics,ST001,Mumbai,store,140,140,0,22,1,,512.5,Supplier 4,WH004,35,70,Overstocked,2026-03-29
SKU0072,cosmetics,ST001,Mumbai,store,103,103,0,2,1,,331.02,Supplier 2,WH004,26,52,Healthy,2026-03-19
SKU0073,cosmetics,ST001,Mumbai,store,82,82,0,20,4,,363.7,Supplier 1,WH004,20,41,Healthy,2026-03-26
SKU0074,cosmetics,ST001,Mumbai,store,137,137,0,48,1,,311.36,Supplier 4,WH004,34,68,Overstocked,2026-05-02
SKU0075,fashion,ST001,Mumbai,store,193,193,0,25,3,,1242.73,Supplier 1,WH004,48,96,Overstocked,2026-03-19
SKU0076,fashion,ST001,Mumbai,store,205,205,0,27,1,,872.8,Supplier 3,WH004,51,102,Overstocked,2026-05-03
SKU0077,fashion,ST001,Mumbai,store,106,106,0,24,3,,2663.73,Supplier 5,WH004,26,53,Healthy,2026-05-03
SKU0078,fashion,ST001,Mumbai,store,192,192,0,49,0,,1926.13,Supplier 3,WH004,48,96,Overstocked,2026-04-19
SKU0079,fashion,ST001,Mumbai,store,152,152,0,23,4,,1692.59,Supplier 5,WH004,38,76,Overstocked,2026-03-14
SKU0080,fashion,ST001,Mumbai,store,181,181,0,48,1,,2322.92,Supplier 2,WH005,45,90,Overstocked,2026-04-19
SKU0081,fashion,ST001,Mumbai,store,147,147,0,34,4,,2797.48,Supplier 3,WH005,37,74,Overstocked,2026-05-05
SKU0082,fashion,ST001,Mumbai,store,187,187,0,36,2,,745.92,Supplier 5,WH005,47,94,Overstocked,2026-04-18
SKU0083,fashion,ST001,Mumbai,store,123,123,0,16,3,,1151.86,Supplier 3,WH005,31,62,Overstocked,2026-04-11
SKU0084,fashion,ST001,Mumbai,store,101,101,0,32,4,,1128.07,Supplier 1,WH005,25,50,Healthy,2026-04-06
SKU0085,fashion,ST001,Mumbai,store,214,214,0,42,5,,2836.06,Supplier 1,WH005,54,107,Overstocked,2026-04-22
SKU0086,fashion,ST001,Mumbai,store,165,165,0,3,2,,2900.98,Supplier 5,WH005,41,82,Overstocked,2026-03-26
SKU0087,fashion,ST001,Mumbai,store,217,217,0,43,4,,1002.29,Supplier 1,WH005,54,108,Overstocked,2026-05-03
SKU0088,fashion,ST001,Mumbai,store,121,121,0,9,1,,1009.22,Supplier 5,WH005,30,60,Overstocked,2026-03-10
SKU0089,fashion,ST001,Mumbai,store,143,143,0,2,0,,1045.17,Supplier 5,WH005,36,72,Overstocked,2026-04-14
SKU0090,fashion,ST001,Mumbai,store,163,163,0,5,2,,1272.69,Supplier 3,WH005,41,82,Overstocked,2026-03-16
SKU0091,fashion,ST001,Mumbai,store,216,216,0,3,5,,1847.15,Supplier 2,WH005,54,108,Overstocked,2026-03-24
SKU0092,fashion,ST001,Mumbai,store,207,207,0,50,2,,2779.75,Supplier 5,WH005,52,104,Overstocked,2026-03-21
SKU0093,fashion,ST001,Mumbai,store,154,154,0,21,3,,856.86,Supplier 4,WH005,38,77,Overstocked,2026-04-24
SKU0094,fashion,ST001,Mumbai,store,165,165,0,25,3,,1732.19,Supplier 4,WH005,41,82,Overstocked,2026-05-02
SKU0095,fashion,ST001,Mumbai,store,193,193,0,12,0,,2382.85,Supplier 3,WH005,48,96,Overstocked,2026-04-17
SKU0096,fashion,ST001,Mumbai,store,154,154,0,22,0,,2345.38,Supplier 5,WH005,38,77,Overstocked,2026-04-15
SKU0097,fashion,ST001,Mumbai,store,159,159,0,45,0,,2753.25,Supplier 3,WH005,40,80,Overstocked,2026-04-01
SKU0098,fashion,ST001,Mumbai,store,133,133,0,32,1,,1436.27,Supplier 2,WH005,33,66,Overstocked,2026-04-14
SKU0099,fashion,ST001,Mumbai,store,132,132,0,4,3,,2677.77,Supplier 2,WH005,33,66,Overstocked,2026-03-29
